     6.000     19.154 # matmult_gpu5 16
    96.000   1287.859 # matmult_gpu5 64
   384.000   8103.744 # matmult_gpu5 128
  6144.000  91793.559 # matmult_gpu5 512
 24576.000 251500.999 # matmult_gpu5 1024
 55296.000 366711.283 # matmult_gpu5 1536
 98304.000 470231.483 # matmult_gpu5 2048
393216.000 748030.956 # matmult_gpu5 4096
884736.000 915791.982 # matmult_gpu5 6144
1572864.000 1036726.336 # matmult_gpu5 8192
2457600.000 1142101.965 # matmult_gpu5 10240
4816896.000 1258656.456 # matmult_gpu5 14336
9830400.000 1448347.566 # matmult_gpu5 20480
14155776.000 1516894.054 # matmult_gpu5 24576
