     2.344   7920.385 # matmult_lib 10
    58.594  73247.988 # matmult_lib 50
   234.375 181205.793 # matmult_lib 100
  5859.375 603756.047 # matmult_lib 500
 23437.500 736887.935 # matmult_lib 1000
 52734.375 742254.268 # matmult_lib 1500
 93750.000 754446.729 # matmult_lib 2000
375000.000 816094.050 # matmult_lib 4000
843750.000 827440.017 # matmult_lib 6000
1500000.000 832221.187 # matmult_lib 8000
2343750.000 826935.204 # matmult_lib 10000
5273437.500 833336.181 # matmult_lib 15000
9375000.000 836380.751 # matmult_lib 20000
14648437.500 836090.865 # matmult_lib 25000
