     2.344      0.982 # matmult_gpulib 10
    58.594    201.942 # matmult_gpulib 50
   234.375   1157.796 # matmult_gpulib 100
  5859.375  59410.344 # matmult_gpulib 500
 23437.500 217333.313 # matmult_gpulib 1000
 52734.375 354386.376 # matmult_gpulib 1500
 93750.000 478454.545 # matmult_gpulib 2000
375000.000 931502.699 # matmult_gpulib 4000
843750.000 1321143.225 # matmult_gpulib 6000
1500000.000 1615742.230 # matmult_gpulib 8000
2343750.000 1870731.631 # matmult_gpulib 10000
5273437.500 2571731.152 # matmult_gpulib 15000
9375000.000 2947097.035 # matmult_gpulib 20000
14648437.500 3434281.670 # matmult_gpulib 25000
