     2.344      4.542 # matmult_gpu4 10
    58.594    537.755 # matmult_gpu4 50
   234.375   3435.318 # matmult_gpu4 100
  5859.375  76514.882 # matmult_gpu4 500
 23437.500 229844.840 # matmult_gpu4 1000
 52734.375 337183.128 # matmult_gpu4 1500
 93750.000 433592.260 # matmult_gpu4 2000
375000.000 676937.451 # matmult_gpu4 4000
843750.000 839426.817 # matmult_gpu4 6000
1500000.000 951763.288 # matmult_gpu4 8000
2343750.000 1036107.222 # matmult_gpu4 10000
5273437.500 1229063.065 # matmult_gpu4 15000
9375000.000 1320289.064 # matmult_gpu4 20000
14648437.500 1431608.513 # matmult_gpu4 25000
