     2.344      4.330 # matmult_gpu3 10
    58.594    541.867 # matmult_gpu3 50
   234.375   3543.955 # matmult_gpu3 100
  5859.375  79888.068 # matmult_gpu3 500
 23437.500 221498.358 # matmult_gpu3 1000
 52734.375 329656.948 # matmult_gpu3 1500
 93750.000 446658.786 # matmult_gpu3 2000
375000.000 707176.277 # matmult_gpu3 4000
843750.000 843666.429 # matmult_gpu3 6000
1500000.000 956642.081 # matmult_gpu3 8000
2343750.000 1048424.279 # matmult_gpu3 10000
5273437.500 1160728.116 # matmult_gpu3 15000
9375000.000 1263391.321 # matmult_gpu3 20000
14648437.500 1290111.669 # matmult_gpu3 25000
